Model,Dataset,Precision
RF_MDS,du,0.719909159727479
SVM_MDS,du,0.797138047138047
RF_node2vec,du,0.746741154562384
SVM_node2vec,du,0.761547690461908
RF_PCA,du,0.737477052189877
SVM_PCA,du,0.707731520815633
RF_MDS,guo,0.681636726546906
SVM_MDS,guo,0.656899810964083
RF_node2vec,guo,0.68
SVM_node2vec,guo,0.630813953488372
RF_PCA,guo,0.676720075400566
SVM_PCA,guo,0.598434004474273
RF_MDS,huang,0.877611940298507
SVM_MDS,huang,0.873770491803279
RF_node2vec,huang,0.91864406779661
SVM_node2vec,huang,0.68958742632613
RF_PCA,huang,0.890909090909091
SVM_PCA,huang,0.818452380952381
RF_MDS,pan,0.79682003658365
SVM_MDS,pan,0.879129481759825
RF_node2vec,pan,0.905144167758847
SVM_node2vec,pan,0.791675514971332
RF_PCA,pan,0.883471867007673
SVM_PCA,pan,0.822413412750938
RF_MDS,richoux-regular,0.866358712965913
SVM_MDS,richoux-regular,0.875616438356165
RF_node2vec,richoux-regular,0.836638006667837
SVM_node2vec,richoux-regular,0.73282876064333
RF_PCA,richoux-regular,0.84597510373444
SVM_PCA,richoux-regular,0.741986860441967
RF_MDS,richoux-strict,0.867088607594937
SVM_MDS,richoux-strict,0.791411042944785
RF_node2vec,richoux-strict,0.843373493975904
SVM_node2vec,richoux-strict,0.745664739884393
RF_PCA,richoux-strict,0.806060606060606
SVM_PCA,richoux-strict,0.71978021978022
DeepFE,du,0.8598
DeepFE,guo,0.7613
DeepFE,huang,0.8469
DeepFE,pan,0.9265
DeepFE,richoux-regular,0.8348
DeepFE,richoux-strict,0.7325
deepPPI_FC,du,0.8423
deepPPI_FC,guo,0.7452
deepPPI_FC,huang,0.9074
deepPPI_FC,pan,0.9392
deepPPI_FC,richoux-regular,0.8123
deepPPI_FC,richoux-strict,0.8301
deepPPI_LSTM,du,0.9179
deepPPI_LSTM,guo,0.8306
deepPPI_LSTM,huang,0.8631
deepPPI_LSTM,pan,0.9745
deepPPI_LSTM,richoux-regular,0.8442
deepPPI_LSTM,richoux-strict,0.7325
PIPR,du,0.9079
PIPR,guo,0.8375
PIPR,huang,0.9813
PIPR,pan,0.9854
PIPR,richoux-regular,0.8447
PIPR,richoux-strict,0.8889
SPRINT,du,0.3445
SPRINT,guo,0.5849
SPRINT,huang,0.5621
SPRINT,pan,0.8066
SPRINT,richoux-regular,0.8402
SPRINT,richoux-strict,0.7299
