Model,Dataset,Recall
degree_cons,dscript,0
RF_MDS,dscript,0.556461001164144
SVM_MDS,dscript,0.487077997671711
RF_node2vec,dscript,0.551594746716698
SVM_node2vec,dscript,0.0323639774859287
RF_PCA,dscript,0.610710128055879
SVM_PCA,dscript,0.113154831199069
degree_cons,du,0.724128073184677
degree_hf,du,0.818467695826186
RF_MDS,du,0.872535010002858
SVM_MDS,du,0.891111746213204
RF_node2vec,du,0.872334209757523
SVM_node2vec,du,0.830850131463629
RF_PCA,du,0.873392397827951
SVM_PCA,du,0.516433266647614
degree_cons,guo,0.817850637522769
degree_hf,guo,0.849726775956284
RF_MDS,guo,0.718579234972678
SVM_MDS,guo,0.709471766848816
RF_node2vec,guo,0.715477293790547
SVM_node2vec,guo,0.633920296570899
RF_PCA,guo,0.718579234972678
SVM_PCA,guo,0.475409836065574
degree_cons,huang,0.77292576419214
degree_hf,huang,0.868995633187773
RF_MDS,huang,0.965014577259475
SVM_MDS,huang,0.897959183673469
RF_node2vec,huang,0.935483870967742
SVM_node2vec,huang,0.592375366568915
RF_PCA,huang,0.947521865889213
SVM_PCA,huang,0.440233236151603
degree_cons,pan,0.804049744897959
degree_hf,pan,0.885044642857143
RF_MDS,pan,0.96987087517934
SVM_MDS,pan,0.964291407619959
RF_node2vec,pan,0.961766117421213
SVM_node2vec,pan,0.730443129099344
RF_PCA,pan,0.967639088155588
SVM_PCA,pan,0.682608002550614
degree_cons,richoux-regular,0.92201540436457
degree_hf,richoux-regular,0.877727856225931
RF_MDS,richoux-regular,0.969628432956381
SVM_MDS,richoux-regular,0.883521809369952
RF_node2vec,richoux-regular,0.971150620597115
SVM_node2vec,richoux-regular,0.664542099966454
RF_PCA,richoux-regular,0.97140549273021
SVM_PCA,richoux-regular,0.621486268174475
degree_cons,richoux-strict,0.823076923076923
degree_hf,richoux-strict,0.792307692307692
RF_MDS,richoux-strict,0.550387596899225
SVM_MDS,richoux-strict,0.550387596899225
RF_node2vec,richoux-strict,0.581395348837209
SVM_node2vec,richoux-strict,0.534883720930233
RF_PCA,richoux-strict,0.507751937984496
SVM_PCA,richoux-strict,0.503875968992248
DeepFE,dscript,0.756
DeepFE,du,0.9068
DeepFE,guo,0.847
DeepFE,huang,0.9549
DeepFE,pan,0.9805
DeepFE,richoux-regular,0.9303
DeepFE,richoux-strict,0.5155
deepPPI_FC,dscript,0.785
deepPPI_FC,du,0.918
deepPPI_FC,guo,0.896
deepPPI_FC,huang,0.9772
deepPPI_FC,pan,0.9821
deepPPI_FC,richoux-regular,0.9823
deepPPI_FC,richoux-strict,0.5937
deepPPI_LSTM,dscript,0.6724
deepPPI_LSTM,du,0.8685
deepPPI_LSTM,guo,0.8771
deepPPI_LSTM,huang,0.9032
deepPPI_LSTM,pan,0.892
deepPPI_LSTM,richoux-regular,0.877
deepPPI_LSTM,richoux-strict,0.5937
PIPR,dscript,0.736
PIPR,du,0.8797
PIPR,guo,0.9545
PIPR,huang,0.9287
PIPR,pan,0.9715
PIPR,richoux-regular,0.9659
PIPR,richoux-strict,0.5349
SPRINT,du,0.7345
SPRINT,guo,0.6252
SPRINT,huang,0.7497
SPRINT,pan,0.8917
SPRINT,richoux-regular,0.9871
SPRINT,richoux-strict,0.8088
SPRINT,dscript,0.7754
D-SCRIPT,du,0.3942
D-SCRIPT,guo,0.0331
D-SCRIPT,huang,0.75
D-SCRIPT,pan,0.4014
D-SCRIPT,richoux-regular,0.143
D-SCRIPT,richoux-strict,0.0182
D-SCRIPT,dscript,0.1739
Topsy_Turvy,du,0.4957
Topsy_Turvy,guo,0.0149
Topsy_Turvy,huang,0.0562
Topsy_Turvy,pan,0.0646
Topsy_Turvy,richoux-regular,0.0303
Topsy_Turvy,richoux-strict,0.2091
Topsy_Turvy,dscript,0.1919
