Model,Dataset,Specificity
degree_cons,dscript,1
RF_MDS,dscript,0.994016298020955
SVM_MDS,dscript,0.642607683352736
RF_node2vec,dscript,0.994160412757974
SVM_node2vec,dscript,0.575867729831144
RF_PCA,dscript,0.992456344586729
SVM_PCA,dscript,0.367962747380675
degree_cons,du,0.941075021557919
degree_hf,du,0.916355274504168
RF_MDS,du,0.688128772635815
SVM_MDS,du,0.611382581201495
RF_node2vec,du,0.715294117647059
SVM_node2vec,du,0.568823529411765
RF_PCA,du,0.71773498131647
SVM_PCA,du,0.261281977579764
degree_cons,guo,0.462008733624454
degree_hf,guo,0.719650655021834
RF_MDS,guo,0.729257641921397
SVM_MDS,guo,0.648908296943232
RF_node2vec,guo,0.740282685512368
SVM_node2vec,guo,0.579505300353357
RF_PCA,guo,0.704803493449782
SVM_PCA,guo,0.375545851528384
degree_cons,huang,0.978038067349927
degree_hf,huang,0.966325036603221
RF_MDS,huang,0.888563049853372
SVM_MDS,huang,0.878299120234604
RF_node2vec,huang,0.925816023738872
SVM_node2vec,huang,0.566765578635015
RF_PCA,huang,0.906158357771261
SVM_PCA,huang,0.218475073313783
degree_cons,pan,0.977428071848673
degree_hf,pan,0.971069782228581
RF_MDS,pan,0.771896359879193
SVM_MDS,pan,0.701001430615165
RF_node2vec,pan,0.91341093924414
SVM_node2vec,pan,0.448891723808005
RF_PCA,pan,0.878397711015737
SVM_PCA,pan,0.251152439993642
degree_cons,richoux-regular,0.505134788189987
degree_hf,richoux-regular,0.645378690629012
RF_MDS,richoux-regular,0.874798061389338
SVM_MDS,richoux-regular,0.595638126009693
RF_node2vec,richoux-regular,0.843341160684334
SVM_node2vec,richoux-regular,0.502515934250252
RF_PCA,richoux-regular,0.855573505654281
SVM_PCA,richoux-regular,0.373182552504039
degree_cons,richoux-strict,0.569230769230769
degree_hf,richoux-strict,0.7
RF_MDS,richoux-strict,0.906976744186047
SVM_MDS,richoux-strict,0.62015503875969
RF_node2vec,richoux-strict,0.891472868217054
SVM_node2vec,richoux-strict,0.503875968992248
RF_PCA,richoux-strict,0.903100775193798
SVM_PCA,richoux-strict,0.356589147286822
DeepFE,dscript,0.9764
DeepFE,du,9e-04
DeepFE,guo,0
DeepFE,huang,0.1567
DeepFE,pan,0.5406
DeepFE,richoux-regular,0.2226
DeepFE,richoux-strict,0.2353
deepPPI_FC,dscript,0.9989
deepPPI_FC,du,0.394
deepPPI_FC,guo,0.5195
deepPPI_FC,huang,0.4424
deepPPI_FC,pan,0.3685
deepPPI_FC,richoux-regular,0.7707
deepPPI_FC,richoux-strict,0.9059
deepPPI_LSTM,dscript,1
deepPPI_LSTM,du,0
deepPPI_LSTM,guo,0.006
deepPPI_LSTM,huang,0
deepPPI_LSTM,pan,0.9685
deepPPI_LSTM,richoux-regular,0.8367
deepPPI_LSTM,richoux-strict,0.8706
PIPR,dscript,0.9887
PIPR,du,0.9968
PIPR,guo,0
PIPR,huang,0
PIPR,pan,0.9827
PIPR,richoux-regular,0.8882
PIPR,richoux-strict,0.9412
SPRINT,du,0.3445
SPRINT,guo,0.5849
SPRINT,huang,0.5621
SPRINT,pan,0.8066
SPRINT,richoux-regular,0.8402
SPRINT,richoux-strict,0.7299
SPRINT,dscript,0.5014
D-SCRIPT,du,0.9993
D-SCRIPT,guo,0.7727
D-SCRIPT,huang,0.9663
D-SCRIPT,pan,0.9219
D-SCRIPT,richoux-regular,0.9832
D-SCRIPT,richoux-strict,0.8818
D-SCRIPT,dscript,0.9842
Topsy_Turvy,du,0.9892
Topsy_Turvy,guo,0.7616
Topsy_Turvy,huang,1
Topsy_Turvy,pan,0.9532
Topsy_Turvy,richoux-regular,0.9464
Topsy_Turvy,richoux-strict,0.9091
Topsy_Turvy,dscript,0.9998
