Model,Dataset,F1
RF_MDS,du,0.766729373824241
SVM_MDS,du,0.806758483600738
RF_node2vec,du,0.784187735717279
SVM_node2vec,du,0.754083754083754
RF_PCA,du,0.771256171146462
SVM_PCA,du,0.571232641865249
RF_MDS,guo,0.636236609222171
SVM_MDS,guo,0.630957784838856
RF_node2vec,guo,0.629330802088277
SVM_node2vec,guo,0.601663585951941
RF_PCA,guo,0.650951949229374
SVM_PCA,guo,0.524767042667975
RF_MDS,huang,0.869822485207101
SVM_MDS,huang,0.825077399380805
RF_node2vec,huang,0.857594936708861
SVM_node2vec,huang,0.593406593406594
RF_PCA,huang,0.837606837606838
SVM_PCA,huang,0.540275049115914
RF_MDS,pan,0.845350052246604
SVM_MDS,pan,0.885786401640637
RF_node2vec,pan,0.892929292929293
SVM_node2vec,pan,0.679052823315118
RF_PCA,pan,0.88100741213039
SVM_PCA,pan,0.688839615668884
RF_MDS,richoux-regular,0.872473532242541
SVM_MDS,richoux-regular,0.821945992284612
RF_node2vec,richoux-regular,0.817768630477661
SVM_node2vec,richoux-regular,0.688716991197653
RF_PCA,richoux-regular,0.83454768726975
SVM_PCA,richoux-regular,0.664764113083029
RF_MDS,richoux-strict,0.658653846153846
SVM_MDS,richoux-strict,0.612826603325416
RF_node2vec,richoux-strict,0.660377358490566
SVM_node2vec,richoux-strict,0.598607888631091
RF_PCA,richoux-strict,0.628841607565012
SVM_PCA,richoux-strict,0.595454545454545
DeepFE,du,0.8486
DeepFE,guo,0.7408
DeepFE,huang,0.887
DeepFE,pan,0.9309
DeepFE,richoux-regular,0.8493
DeepFE,richoux-strict,0.5542
deepPPI_FC,du,0.8325
deepPPI_FC,guo,0.7004
deepPPI_FC,huang,0.8834
deepPPI_FC,pan,0.9318
deepPPI_FC,richoux-regular,0.8476
deepPPI_FC,richoux-strict,0.621
deepPPI_LSTM,du,0.8678
deepPPI_LSTM,guo,0.7322
deepPPI_LSTM,huang,0.9046
deepPPI_LSTM,pan,0.9398
deepPPI_LSTM,richoux-regular,0.8242
deepPPI_LSTM,richoux-strict,0.5569
PIPR,du,0.8752
PIPR,guo,0.853
PIPR,huang,0.9071
PIPR,pan,0.9696
PIPR,richoux-regular,0.8527
PIPR,richoux-strict,0.493
SPRINT,du,0.3445
SPRINT,guo,0.5849
SPRINT,huang,0.5621
SPRINT,pan,0.8066
SPRINT,richoux-regular,0.8402
SPRINT,richoux-strict,0.7299
