Model,Dataset,Recall,Partition
RF_MDS,dscript,0,0->1
RF_MDS,dscript,0.46220716074849,both->0
RF_MDS,dscript,0.535963151057045,both->1
SVM_MDS,dscript,0.137238691390103,0->1
SVM_MDS,dscript,0.480919404744364,both->0
SVM_MDS,dscript,0.517538679579544,both->1
RF_node2vec,dscript,0.000119660165131028,0->1
RF_node2vec,dscript,0.235965817003094,both->0
RF_node2vec,dscript,0.468828526983367,both->1
SVM_node2vec,dscript,0.550077779107335,0->1
SVM_node2vec,dscript,0.492338293796965,both->0
SVM_node2vec,dscript,0.619241354553069,both->1
RF_PCA,dscript,0,0->1
RF_PCA,dscript,0.221673788124355,both->0
RF_PCA,dscript,0.449746072989252,both->1
SVM_PCA,dscript,0.639777961497579,0->1
SVM_PCA,dscript,0.479372329453367,both->0
SVM_PCA,dscript,0.782095193102634,both->1
RF_MDS,du,0.996282527881041,0->1
RF_MDS,du,0.891484655792093,both->0
RF_MDS,du,0.833126807104502,both->1
SVM_MDS,du,0.776951672862453,0->1
SVM_MDS,du,0.606027094277025,both->0
SVM_MDS,du,0.625361420900454,both->1
RF_node2vec,du,0.97688617531618,0->1
RF_node2vec,du,0.887337572573956,both->0
RF_node2vec,du,0.829917139119058,both->1
SVM_node2vec,du,0.755778456170955,0->1
SVM_node2vec,du,0.638512579485762,both->0
SVM_node2vec,du,0.547317924116877,both->1
RF_PCA,du,0.923585295332507,0->1
RF_PCA,du,0.886369919823058,both->0
RF_PCA,du,0.833952912019826,both->1
SVM_PCA,du,0.613382899628253,0->1
SVM_PCA,du,0.593032900193531,both->0
SVM_PCA,du,0.700123915737299,both->1
RF_MDS,guo,0.939605110336818,0->1
RF_MDS,guo,0.893965517241379,both->0
RF_MDS,guo,0.897793263646922,both->1
SVM_MDS,guo,0.59581881533101,0->1
SVM_MDS,guo,0.775862068965517,both->0
SVM_MDS,guo,0.796747967479675,both->1
RF_node2vec,guo,0.752403846153846,0->1
RF_node2vec,guo,0.868534482758621,both->0
RF_node2vec,guo,0.882211538461539,both->1
SVM_node2vec,guo,0.478365384615385,0->1
SVM_node2vec,guo,0.741810344827586,both->0
SVM_node2vec,guo,0.722355769230769,both->1
RF_PCA,guo,0.777003484320558,0->1
RF_PCA,guo,0.85301724137931,both->0
RF_PCA,guo,0.888501742160279,both->1
SVM_PCA,guo,0.440185830429733,0->1
SVM_PCA,guo,0.687931034482759,both->0
SVM_PCA,guo,0.781649245063879,both->1
RF_MDS,huang,0.994389901823282,0->1
RF_MDS,huang,0.948547717842324,both->0
RF_MDS,huang,0.962131837307153,both->1
SVM_MDS,huang,0.760168302945302,0->1
SVM_MDS,huang,0.828215767634855,both->0
SVM_MDS,huang,0.840112201963534,both->1
RF_node2vec,huang,0.824460431654676,0->1
RF_node2vec,huang,0.942738589211618,both->0
RF_node2vec,huang,0.902158273381295,both->1
SVM_node2vec,huang,0.610071942446043,0->1
SVM_node2vec,huang,0.72448132780083,both->0
SVM_node2vec,huang,0.712230215827338,both->1
RF_PCA,huang,0.784011220196353,0->1
RF_PCA,huang,0.955186721991701,both->0
RF_PCA,huang,0.872370266479664,both->1
SVM_PCA,huang,0.455820476858345,0->1
SVM_PCA,huang,0.668879668049793,both->0
SVM_PCA,huang,0.490883590462833,both->1
RF_MDS,pan,0.999781420765027,0->1
RF_MDS,pan,0.96078431372549,both->0
RF_MDS,pan,0.973333333333333,both->1
SVM_MDS,pan,0.720874316939891,0->1
SVM_MDS,pan,0.842176086120723,both->0
SVM_MDS,pan,0.826666666666667,both->1
RF_node2vec,pan,0.94979079497908,0->1
RF_node2vec,pan,0.945085223631936,both->0
RF_node2vec,pan,0.9581589958159,both->1
SVM_node2vec,pan,0.29442853996917,0->1
SVM_node2vec,pan,0.418877354863514,both->0
SVM_node2vec,pan,0.437128385818102,both->1
RF_PCA,pan,0.958032786885246,0->1
RF_PCA,pan,0.967896962706651,both->0
RF_PCA,pan,0.962185792349727,both->1
SVM_PCA,pan,0.366338797814208,0->1
