Model,Dataset,Specificity
degree_cons,dscript,1
RF_MDS,dscript,0.993108265424913
SVM_MDS,dscript,0.774924330616997
RF_node2vec,dscript,0.995028142589118
SVM_node2vec,dscript,0.530769230769231
RF_PCA,dscript,0.995948777648428
SVM_PCA,dscript,0.339860302677532
degree_cons,du,0.947127750785939
degree_hf,du,0.911689054015433
RF_MDS,du,0.88796799085453
SVM_MDS,du,0.70362960845956
RF_node2vec,du,0.889862693543675
SVM_node2vec,du,0.575518550978674
RF_PCA,du,0.891397542154902
SVM_PCA,du,0.239496999142612
degree_cons,guo,0.660291438979964
degree_hf,guo,0.768670309653916
RF_MDS,guo,0.719489981785064
SVM_MDS,guo,0.565573770491803
RF_node2vec,guo,0.708989805375348
SVM_node2vec,guo,0.580166821130677
RF_PCA,guo,0.698542805100182
SVM_PCA,guo,0.356102003642987
degree_cons,huang,0.978165938864629
degree_hf,huang,0.963609898107715
RF_MDS,huang,0.975218658892128
SVM_MDS,huang,0.957725947521866
RF_node2vec,huang,0.963343108504399
SVM_node2vec,huang,0.752199413489736
RF_PCA,huang,0.97667638483965
SVM_PCA,huang,0.204081632653061
degree_cons,pan,0.980395282116672
degree_hf,pan,0.972425884603124
RF_MDS,pan,0.983102183963016
SVM_MDS,pan,0.811254583134067
RF_node2vec,pan,0.980803071508559
SVM_node2vec,pan,0.497520396736522
RF_PCA,pan,0.982623943886498
SVM_PCA,pan,0.278973377969074
degree_cons,richoux-regular,0.626444159178434
degree_hf,richoux-regular,0.715340179717587
RF_MDS,richoux-regular,0.87124394184168
SVM_MDS,richoux-regular,0.578513731825525
RF_node2vec,richoux-regular,0.855082187185508
SVM_node2vec,richoux-regular,0.508554176450855
RF_PCA,richoux-regular,0.879967689822294
SVM_PCA,richoux-regular,0.369789983844911
degree_cons,richoux-strict,0.584615384615385
degree_hf,richoux-strict,0.707692307692308
RF_MDS,richoux-strict,0.910852713178295
SVM_MDS,richoux-strict,0.624031007751938
RF_node2vec,richoux-strict,0.903100775193798
SVM_node2vec,richoux-strict,0.550387596899225
RF_PCA,richoux-strict,0.895348837209302
SVM_PCA,richoux-strict,0.383720930232558
DeepFE,dscript,0.9877
DeepFE,du,0.9037
DeepFE,guo,0.9143
DeepFE,huang,0.9898
DeepFE,pan,0.9895
DeepFE,richoux-regular,0.8305
DeepFE,richoux-strict,0.8633
deepPPI_FC,dscript,0.9818
deepPPI_FC,du,0.9008
deepPPI_FC,guo,0.5016
deepPPI_FC,huang,0.97
deepPPI_FC,pan,0.9898
deepPPI_FC,richoux-regular,0.7724
deepPPI_FC,richoux-strict,0.8867
deepPPI_LSTM,dscript,0.988
deepPPI_LSTM,du,0.9005
deepPPI_LSTM,guo,0.9415
deepPPI_LSTM,huang,0.9806
deepPPI_LSTM,pan,0.8746
deepPPI_LSTM,richoux-regular,0.827
deepPPI_LSTM,richoux-strict,0.8594
PIPR,dscript,0.9878
PIPR,du,0.9083
PIPR,guo,0.9681
PIPR,huang,0.9709
PIPR,pan,0.9864
PIPR,richoux-regular,0.8567
PIPR,richoux-strict,0.9062
SPRINT,du,0.7345
SPRINT,guo,0.6252
SPRINT,huang,0.7497
SPRINT,pan,0.8917
SPRINT,richoux-regular,0.9871
SPRINT,richoux-strict,0.8088
SPRINT,dscript,0.7754
D-SCRIPT,du,0.9996
D-SCRIPT,guo,0.8069
D-SCRIPT,huang,0.9833
D-SCRIPT,pan,0.9446
D-SCRIPT,richoux-regular,0.994
D-SCRIPT,richoux-strict,0.9
D-SCRIPT,dscript,0.9983
Topsy_Turvy,du,0.9961
Topsy_Turvy,guo,0.8823
Topsy_Turvy,huang,0.9833
Topsy_Turvy,pan,0.9681
Topsy_Turvy,richoux-regular,0.9866
Topsy_Turvy,richoux-strict,0.9864
Topsy_Turvy,dscript,0.9883
