Model,Dataset,Specificity
degree_cons,dscript,1
RF_MDS,dscript,0.994318975552969
SVM_MDS,dscript,0.765261932479628
RF_node2vec,dscript,0.994136960600375
SVM_node2vec,dscript,0.46390712945591
RF_PCA,dscript,0.992316647264261
SVM_PCA,dscript,0.362398137369034
degree_cons,du,0.941075021557919
degree_hf,du,0.916355274504168
RF_MDS,du,0.691578039666571
SVM_MDS,du,0.626041966082208
RF_node2vec,du,0.717352941176471
SVM_node2vec,du,0.625294117647059
RF_PCA,du,0.716872664558781
SVM_PCA,du,0.263006611095142
degree_cons,guo,0.462008733624454
degree_hf,guo,0.719650655021834
RF_MDS,guo,0.739737991266376
SVM_MDS,guo,0.68296943231441
RF_node2vec,guo,0.721731448763251
SVM_node2vec,guo,0.512367491166078
RF_PCA,guo,0.710917030567686
SVM_PCA,guo,0.348471615720524
degree_cons,huang,0.978038067349927
degree_hf,huang,0.966325036603221
RF_MDS,huang,0.887096774193548
SVM_MDS,huang,0.863636363636364
RF_node2vec,huang,0.934718100890208
SVM_node2vec,huang,0.568249258160237
RF_PCA,huang,0.92375366568915
SVM_PCA,huang,0.206744868035191
degree_cons,pan,0.977428071848673
degree_hf,pan,0.97106978222858
RF_MDS,pan,0.778572563980289
SVM_MDS,pan,0.68415196312192
RF_node2vec,pan,0.912773082442992
SVM_node2vec,pan,0.481262956466273
RF_PCA,pan,0.873628993800668
SVM_PCA,pan,0.366078524876808
degree_cons,richoux-regular,0.513478818998716
degree_hf,richoux-regular,0.653722721437741
RF_MDS,richoux-regular,0.868012924071083
SVM_MDS,richoux-regular,0.786914378029079
RF_node2vec,richoux-regular,0.843005702784301
SVM_node2vec,richoux-regular,0.499832271049983
RF_PCA,richoux-regular,0.85767366720517
SVM_PCA,richoux-regular,0.37124394184168
degree_cons,richoux-strict,0.546153846153846
degree_hf,richoux-strict,0.661538461538462
RF_MDS,richoux-strict,0.914728682170543
SVM_MDS,richoux-strict,0.476744186046512
RF_node2vec,richoux-strict,0.887596899224806
SVM_node2vec,richoux-strict,0.472868217054264
RF_PCA,richoux-strict,0.891472868217054
SVM_PCA,richoux-strict,0.352713178294574
DeepFE,dscript,0.9811
DeepFE,du,0.8635
DeepFE,guo,0.7732
DeepFE,huang,0.8316
DeepFE,pan,0.9257
DeepFE,richoux-regular,0.8247
DeepFE,richoux-strict,0.8353
deepPPI_FC,dscript,0.9767
deepPPI_FC,du,0.845
deepPPI_FC,guo,0.7748
deepPPI_FC,huang,0.9173
deepPPI_FC,pan,0.9457
deepPPI_FC,richoux-regular,0.7902
deepPPI_FC,richoux-strict,0.898
deepPPI_LSTM,dscript,0.9816
deepPPI_LSTM,du,0.9259
deepPPI_LSTM,guo,0.8669
deepPPI_LSTM,huang,0.8579
deepPPI_LSTM,pan,0.9785
deepPPI_LSTM,richoux-regular,0.8477
deepPPI_LSTM,richoux-strict,0.8353
PIPR,dscript,0.9826
PIPR,du,0.9143
PIPR,guo,0.831
PIPR,huang,0.9839
PIPR,pan,0.9858
PIPR,richoux-regular,0.8379
PIPR,richoux-strict,0.9569
SPRINT,du,0.3445
SPRINT,guo,0.5849
SPRINT,huang,0.5621
SPRINT,pan,0.8066
SPRINT,richoux-regular,0.8402
SPRINT,richoux-strict,0.7299
SPRINT,dscript,0.5014
D-SCRIPT,du,0.9759
D-SCRIPT,guo,0.9579
D-SCRIPT,huang,0.6589
D-SCRIPT,pan,0.9596
D-SCRIPT,richoux-regular,0.9945
D-SCRIPT,richoux-strict,0.9864
D-SCRIPT,dscript,0.9996
Topsy_Turvy,du,0.9795
Topsy_Turvy,guo,0.98
Topsy_Turvy,huang,1
Topsy_Turvy,pan,0.9912
Topsy_Turvy,richoux-regular,0.9927
Topsy_Turvy,richoux-strict,0.9864
Topsy_Turvy,dscript,0.9982
